review_body,review_date,rating
"I had stayed at many Hyatt hotels in the US & all over the world and gave them excellent reviews mostly due to great customer service. The Grand Hyatt SF is the very 1st Hyatt that disappointed me. Customer service sucks right from the front door to the front desk, to room service. Hotel & room amenities do not reflect the word ""Grand"" Hyatt. Rooms are small and there's constant noise that sounds like a subway underneath. No slippers or robe available in the room. I asked for slippers, water, and more toiletries on our 1st night. Waited for almost 3 hrs. 2nd night, I stopped by the front desk before going to our room after a long day of touring SF w/ my family to ask for some bottled water for me & my family. BTW, we booked 2 rooms for this stay. The answer I got was that I could always call to order the items from my room. I said we just walked back in. The front desk lady repeated that I should just call from my room but that she will make the request to bring them up to our rooms. Waited for hrs until I found out from a family member that the items were brought to just 1 of the 2 rooms. Maybe they were short staffed? Or maybe the culture of the environment is just different? Or maybe we looked too plain or tacky that we didn't deserve the attention or service? All I know is that this hotel experience was far from grand from a Hyatt hotel standard. I will continue to book a stay at a Hyatt Hotel in my future travels but won't come back nor will recommend Grand Hyatt SF.",6-Nov-18,1
"No customer appreciation! We stay here several times a year and they still do not acknowledge that fact. We paid for a city view room and got, not the east side financial district city view, but the back of the building where there are loud protesters picketing at another hotel.When I called to relocate to a room with the view we paid for, we were told that this side of the building is a city view as well. Well, it is not. So beware, their upgrades are not worth the price as they bait and switch you to a lower grade room even though you pay for a view. They are more interested in their ""new eco-friendly"" practices than customer appreciation or service. Upon checking in, we did not get a ""welcome back, we appreciate your business"". All we got was a speech about eco friendliness and that we now have to pay an extra 25$ destination fee and all we got for that was a few coupons that we can't use and a map.We will now be staying elsewhere from now on. The Grand Hyatt San Francisco just lost a very loyal customer.",6-Nov-18,1
"Very poor sound isolation between rooms, especially in the corner units where there are three rooms with doors facing each other. One can hear every coming and going. Also, a surprising number of rooms are connecting rooms, with even normal TV usage being audible from your neighbour. Definitely ask for a non-connecting room here. Rooms are also getting pretty dated and could use some updates. Were kept clean though. Wifi was awful and had to use my phone tethering and chew through the data.Staff was a plus. They dealt with a 2am moaning/groaning wakeup from a passionate neighbour and promptly moved me so I could sleep and getup for my conference next AM.",3-Nov-18,2
Fabulous fabulous fabulous as always and a real treat and when we left forward to in San Francisco!We are always treated like special guest and the rooms are spotless and the service is excellent and the food is something we always enjoy.,3-Nov-18,5
Was pleasantly surprised at how great this hotel is..Great location on Union Square and was clean and updated. I've traveled and stayed SF many times and live not far away and this hotel exceeded my expectations,30-Oct-18,5
Fine hotel and great location. Grand Club was excellent as was the restaurant. I really appreciated the wide variety of free newspapers in the Grand Club. This hotel will be on my short lists for future stays in San Francisco.,30-Oct-18,5
"Stayed on 27th floor great city view. Classy place, comfortable bed. Shower and bathroom nice. Modern look, newer feel. Union Square is central to many places you would want to go. Sound from outside the room and neighboring rooms did seam to penetrate into our a room a bit loud.",30-Oct-18,5
"Nice location close to CVS, Starbucks, Apple Store, within walking distance to Market Street and Moscone Center. But if they assign the restaurant to go for breakfast and you go to a wrong restaurant, they will impose additional charge to your room. ",29-Oct-18,3
"Large rooms, with lots of nice touches. I liked the vanity area outside the bathroom and the bowl-like sink. It felt luxurious. Great location near Union Square. Surprised by their additional tourism fee. So include that in the budget. It's not in the cost of the room advertised.",29-Oct-18,4
"Great location-smack in the middle of Union Square. From one of the higher floors, the views are amazing. Other than that, I was underwhelmed. The hotel is badly in need of updating. Rooms are large but old and dingy. At $700-800 for a single room with 2 queens, I expected nicer accommodations. Room service is limited to â€œto goâ€ù style prepackaged items. For this hotel, itâ€™s all about the location and not much else. ",28-Oct-18,3
"Very comfortable hotel room with great location on Union Square. NEar major shopping, Powel Street cable car line, China town, restaurants. A great location for touring. Service was very good. Refrigerator ,coffee maker in room. VA let parking with also an option to self park in garage across street.",28-Oct-18,4
"I stayed at the Hyatt for work. The experience couldnâ€™t have been worse. First I was charged a more expensive room to accommodate for my check in. Second I was given a room on the 29th floor that was dated (from all the refurbished rooms). Third there was never complimentary water on a 350 usd a night plus tax hotel stay. Fourth breakfast was not included. Fifth the room cleanliness was non existent, towels smelled like humidity and sheets smelled like unwashed. Sixth the key never worked so I had to go back down every day to have it fixed. Seventh thereâ€™s been a strike for 3 weeks from the Marriott hotel and since 7 am you can hear the demonstrators scream because walls and windows are paper thin. Also you can listen to water in the pipelines and the small minibar be turned on and off. I definitely donâ€™t recommend staying in this hotel.",25-Oct-18,1
"The hotel has an unbeatable location right next to Union Square, thus allowing you to get anywhere by any type of transportation you prefer. It is also precious for anyone wishing to walk to very good restaurants and stores right at the heart of downtown San Francisco. The staff was always available, they would always offer you free bottles of water. A special mention goes to the ladies at the concierge who were very kind, professional, and full of invaluable directions for our days as eager tourists. Really a great stay in an unforgettable hotel for anyone who wants to be comfortable and at home when visiting the city.",25-Oct-18,4
I have stayed at this hotel several times. It is a great location on Union Square walking distance to many of the San Francisco sights and Moscone Center. The hotel rooms are clean and comfortable but a bit dated. The closet dresser is not really big enough to unpack your clothing. The hotel staff was great. They get the grand prize for the biggest bathroom sink I have ever seen in a hotel!,24-Oct-18,4
"hotel has a good location with close proximity to amenities such as pharmacy, restaurants,Stores etc and service is generally friendly. room is decent size. Nothing spectacular but it will fulfill all the basic needs. Visited the bar at L2. Happy hour rates are very reasonable. ",24-Oct-18,4
We arrived in town before noon and they were able to accommodate early check in luckily. There were protests at several hotels from another brand and the front desk staff warned us about that when going over room choices. The location right next to Union Square is great. The 1 thing I found confusing was that I only found free coffee in the lobby on Thursday morning but not the other 2 mornings. I might have drank coffee that was part of a convention I suppose. It seems like everywhere else I've ever stayed offered at least a cup of coffee.,24-Oct-18,4
"We just returned from a long weekend in San Francisco. It was suggested to me by a friend who used to live in SF that we stay in Union Square. She was right. This location is close to many high end stores, restaurants, bars, CVS, the Big Bus stop, etc. We arrived at the hotel at 11am and to our surprise, they had a room ready. They also offered us bottled water, a $30 food credit and a free upgrade for internet (we just had to have them take off the charges at check out). The ladies at the concierge were FANTASTIC - super friendly and gave lots of great ideas. There was a little food cart with drinks and pastries in the am which was convenient. Benches were out friend if you were waiting for an Uber or wanting to smoke. A nice, clean hotel and we would most definitely return. The location was wonderful as it was pretty central to everything and in a nice area. Being from out of town, my husband and I get nervous in a big city, but we had no problems getting around here. ",24-Oct-18,5
Annoying demonstrations from other hotel employees at Marriott/ Westin et al. All day and most of evening noise made it difficult to rest. The construction and trash and homeless/ begging on the streets while walking to convention was very disappointing.,19-Oct-18,4
"As frequent travelers, we have stayed at plenty of hotels. However, our pleasant experience at this property from the kindness of the staff to the quality of the rooms have made us loyal Hyatt guests. Our five day stay made us feel right at home. I highly recommend this property to anyone visiting the area. ",18-Oct-18,5
"The room itself was decent, the mattress was a bit worn and very hard. What was not pleasant was the outside noise of protesters all-day-long starting at 7am each day of my stay. The noise proofing on the room was pretty light, and this was not a great wake up call. Made the business trip difficult to get any rest. The location around the hotel was a bit sketchy, but that might be a description of San Francisco in general.",16-Oct-18,3
Satisfied with experience. View of city from room was not that great. Sleep was not that great as the traffic sound was audible in the room which was disturbing the sleep. Room aesthetics was quite good. ,15-Oct-18,4
"Itâ€™s taken me a while to write this review. But here it goes.I only stayed for one night, during a very long layover. The staff is amazing!! Great customer service, theyâ€™re really attentive to your needs. They also help you with extra stuff. Since I spent 24h in San Francisco, they helped me sort out fun activities for the day. The food at their restaurant is delicious!! A bit slow, but itâ€™s worth the wait. The hotel is located super close to the airport, but itâ€™s also rather close to downtown, so you can get around easily. Uber was a great choice for me. The beds are very comfortable; the rooms are fine. Itâ€™s not a vacation resort or anything. But for short stays is perfect.",15-Oct-18,5
"We stayed for 4 nights at the end of our LA to SF holiday. Check in was fast and efficient and we were soon in our room on 32nd floor. A good view from the room.We ate breakfast each morning. Although the restaurant is not large we were always seated promptly. Very good service and a good selection of hot and cold foods to start the day.We had a couple of drinks in the bar and the service again was excellent.The location is good for Union Square, although there is large amount of redevelopment going on around this area so it is a bit of a building site.Easy access either via walking or short Uber to all the sites.From the back entrance of the hotel you can walk straight into the Apple Store.Would stay again.",15-Oct-18,5
"Great welcome on arrival; the receptionist was really friendly and on seeing how exhausted we were promptly gave us free bottles of water and a voucher for a couple of free drinks at the bar - great start to our holiday.Our room on the 11th floor was fabulous - large, with two fabulously comfortable double beds, and a great view. It was spotlessly clean with linen and towels changed every other day, more often on request. The bathroom was a good size with a great shower and very nice toiletries, which were re-stocked on a daily basis.My one complaint would be that on one night we were unable to use the bar as it had been blocked off for the exclusive use of a conference group. If you wanted a drink you had to sit in the restaurant area and had a very limited choice of drinks - bottled beer or house wine. I expect better from a hotel of this size and quality. We like to round off our day with a drink in the bar and this was a disappointing end to an otherwise fabulous day. A small irritation but worth noting. I appreciate that conferences provide a good revenue source for large hotels but this shouldn't be at the expense of other guests who have paid good money to stay there.",14-Oct-18,4
"This is a wonderful hotel in an excellent part of downtown. It is walking distance to several great restaurants and shopping. And the cable car stop is within the same block, making it very easy to get around the area. Itâ€™s also a beautiful and well kept hotel. Highly recommend.",14-Oct-18,5
"I don't think anyone is reading reviews for this hotel because they wonder if it's sketchy or not. Spoiler: it's not. The bigger question is probably whether or not it's worth the money. I'd say it is. There are certainly cheaper hotels in San Francisco but you might not get a bathroom, or the location might be weird (the Tenderloin is right off of Union Square after all). After looking into prices at all of the nearby hotels, the Grand Hyatt actually isn't even the priciest, and you know you're getting a nice hotel.Check in was quick and friendly. I booked under two reservations due to using Hyatt points for one night and they had already combined the reservations with no issue. They gave me several bottles of water and let me know I could come back and get more if needed any time. I like that! Though the tap water actually tasted perfectly fine to me so I didn't end up grabbing more.The room was actually bigger than I expected for the location. I know hotel rooms in the Union Square area aren't going to be huge. We had friends over and the room was plenty big enough for 4 adults to sit comfortably. The only weird thing with the room was the fact that there was no light upon entering. There was a light switch near the door but it wasn't actually connected to anything. Since we checked in late the room was pitch black and we had to open the door to get enough light to try to find a light in the room. We just didn't turn the lights near the bed off after that, so really not a big deal; I just felt it was an odd oversight.Aside from that, the hotel was perfect. The location is great, right next to Union Square. There is a large convenience store (CVS I think?) right on the corner next door, which was super handy. There are a million food options nearby and a Bart/Muni stop just across the park.I will just mention that I think the ""destination fee"" is a giant rip off but I realize many hotels in many cities are charging it now. I found very few hotels in SF that weren't charging one so this isn't particular to the Grand Hyatt. On a better note, you get a food and beverage credit here, so if you actually use it you can mitigate the fee.As I said, I do think this hotel is worth the price tag. It's not the cheapest for sure, but it's also not the priciest, and you know you're getting a quality room and an awesome location.",14-Oct-18,5
"My wife and I were traveling for a convention. The hotel is within 10 minutes-walk to Moscone Center. Safe and very good location. Rooms are clean, comfortable and hotel service was above average. Good food.",11-Oct-18,5
"One of the best experience we had at this hotelStaff, customer service, location, rooms everything was perfect will definitely use this hotel if we every cisit san francisco highly recommend this to everyone",10-Oct-18,5
"I have stayed here many times in the past 12 months. While currently undergoing lobby renovation, you would not know it. It is quiet, clean friendly. I highly recommend this hotel for its great central location. ",10-Oct-18,5
"The Grand Hyatt San Francisco is in the perfect location in Union Square. Stayed there for 5 days on business trip, staff in various departments was amazing, very attentive and polite. The Rooms are very spacious and kept clean. Hotel can get very busy at check in, but they do a good job in expedite the process. Hotel is very close to Macy's, Apple store, various high-end boutiques and Market st. Hotel have a nice lobby to relax. Donâ€™t forget to check out the 36fl for the view of SF. If you are visiting or have an event, I would recommend the Grand Hyatt SF.",9-Oct-18,5
"Overall stay was ok, given its Grand Hyatt and the price I paid, expectation was higher but I must say the house keeping was prettt disappointing as the service during my 1 week stay was inconsistent- either missing the floor towel, 1 less bath towel or not replenishing the shower gel though was empty! Room delivery is expensive (USD7) - of course I didnâ€™t not want to pay!",9-Oct-18,3
"Our check-in experience was great. We were notified immediately when our room was ready. Upon coming back to get into our room, we requested our luggage from one of the gentlemen who handled the bags and he was extremely rude. He took the tickets and just said ""What colour are these?"", I told him one was grey and the other black and before I could even detail the luggage, he left me speaking to myself. He came back with the bags and I said ""I wish you would've stayed so I could describe them to you to make things easier"". Mid-sentence he cut me off and said ""That's fine."" and just dismissed my comment. No more dialogue was interchanged. Someone working with guests this closely should have more tact and be courteous. This was the first thing I remembered about my stay and it did not reflect well on the Grand Hyatt.",9-Oct-18,4
"Picked the Hotel mainly for its location and it was well worth paying that bit more .We'd booked a king room with bay view which was comfortable and clean albeit a bit tired , views from 23rd floor were great.Staff and check in were efficient but check-out was chaotic and took around 20 minutes and that didn't include any time waiting in a queue . That said it wouldn't deter us from staying again or recommending the Grand Hyatt to others.",9-Oct-18,4
"Our family booked a bayview room for four nights. Very good location in the union square and the view from room is very beautiful especially at sunset. However the room is quite small especially the bathroom, for us with two young kids. Fairly clean room, but you need to call for bottle water supply. It happened the Marriott staffs cross the street were on strike that week and they started their protest at 7am every morning, very annoying, but at the checkout the front desk lady gave us a credit of $40 as gesture which was still very appreciated. For valet parking it's expensive for over $70 daily, just as tips for those who need the parking, there is a public parking right cross the street which costs you only the half.",8-Oct-18,3
"Rooms are very spacious and modern, the staff is friendly and has a lot of expertise. Drinks and food can be consumed on the 1st floor in a very attractive and modern / urban set up. The hotel is located in the very centre of the city, with the financial district to be reached within 5 minutes and Nob Hill about 10 walking minutes away from the main entrance. Another advantage (besides a very friendly staff and prime location) is the fact that you are able to safely park your vehicle with assisted self parking just around the block.",8-Oct-18,4
"Pretty good overall experience, nothing out of the ordinary but as expected. Everything works and is clean, food is what I extended to the price same with service. I stayed during dreamforce, and the location was key ",7-Oct-18,3
I stayed in the grand Hyatt San Francisco from the 3rd I have never been to a hotel that doesnâ€™t have a slipper or a bath rub in the room You have to ask for everything even the shower cap I spent more than 20 minutes waiting for that Thus is a main thing to be in the bath room I canâ€™t understand why itâ€™s like this Itâ€™s so so annoying.,6-Oct-18,2
"Located right in the heart of downtown San Francisco, it is not cheap but for Frisco itâ€™s a bargain. The accommodations are nice. Not fancy but much better than most chain hotels. The lobby is graced with beautiful artwork and if you have access to the concierge room it is exceptionally nice with wonderful food. The best part is the bed; first class.",5-Oct-18,4
"Hotel was clean, but soul-less. Staff were minimalistic. Breakfast room sits approx 30 people, for a 34-storey hotel! No time to stand in line for breakfast, we have Meetings to go to! Kitchen breakfast lady swearing at guests in Spanish as if no one understands...",5-Oct-18,3
"We stayed 6 night at the Grand Hyatt San Francisco in September. Excellent location and Hoel staff are super friendly and very helpful. The housekeeping staff does an amazing job to keep the rooms spotless. Located just a stone throw away from Union Square and China Town. You will find good shopping and restaurants closer to the hotel.Check in & Check out process is seamless. The doorman's at the front door is very helpful. I had to use the business centre for 30 minutes on a weekend and the front desk staff were very professional even accompanying myself and my wife to the 2 nd floor which is closed on weekends. They made our stay very comfortable. If you can get a bay view room, you will have an awesome view of the San Francisco Bay from your room. We will stay there again on your next trip to San Francisco.",5-Oct-18,5
"Disappointing - very noisy, you can hear everything from the neighbor rooms!!! room rate differences between booking confirmation and folio - very annoying and took a long to explain and to get the understanding of Front desk staff. ",4-Oct-18,3
"When a hotel get's it right it's hard to babbler in a Trip Advisor Review. But since there can't be a ten I would have to say the breakfast restaurant is rushed, there were 100 waiters, ok maybe 50, alright just ten but they were always on the go and the food was so so...........everything else was great. Nice staff-even the 2,000 waiters at breakfast were nice. My room was immaculate, clean, everything worked-even the TV for those who read my yuck Viceroy review. Elevator was quick and OMG I was able to speak in the elevator on a call-ok that's a but rude but it worked. Definitely would stay here again.",4-Oct-18,4
"let's talk about waht was wrong, the door to the bathroom could be completely closed.the light at the foot bed is not working.And it is so noisy from the street and clim....I think it is not at the level of the price",3-Oct-18,3
"The Hotel is very central to all places of interest. The Concierge Staff is extremely polite and knowledgeable. I was disappointed by the size of the rooms and the weird sliding bathroom door made of glass, with no lock. Disturbing for co-occupants at night.",2-Oct-18,4
"My girlfriend and I loved this hotel. The bed was the best we'd slept in for a long time. Huge and comfortable. The staff were onhand and always happy to help with little bits and pieces (printing a document, borrowing an HDMI cable etc.). We were only as high as the 8th floor and even then the views were quite good. Judging by the viewing deck on the 36th floor, the views from higher rooms over Union Square must be amazing.There were even some nice little touches like housekeeping arranging our toothbrushes and shoes in little rows. Not something I'd expect nor is it a big deal but little touches like that are always noticed and welcomed.Ronald on reception was great and very friendly.One thing I would note as I'm sure others have, our booking (via booking.com) made no mention of the $25 per night resort fee that we had to pay on top. You do get some small benefits (namely $10 credit per day at the Starbucks/restaurant) but it would have been nice to know this up front.In any case, it has made me much more likely to stay at Grand Hyatt hotels in future. Felt well worth the money all round; and the location right on Union Square is perfect for walking around the city, getting a bus/cable car/BART etc...",2-Oct-18,5
"Hotel is well overdue for a major refit.Disappointing for a Grand Hyatt.No restaurant at our time of stay. Food at the bar very limited and poor service.Great central location and close to restaurants, shops and transport.",2-Oct-18,3
"Very disappointed with the reservation process, the room (no robe, no slippers, lights not working properly, no view, no amenities). Hyatt is resting on laurels of years gone by and have become so corporate and heartless for the guests. The new loyalty program is so confusing in name and trying to use the benefits or free nights is nearly impossible. We have decided to change to other brands as it seems Hyatt does not value the customer but rather looks at profit over quality. ",2-Oct-18,3
"Always looking for something bad, but couldn't find it at the Grand Hyatt. Asked for a quiet room and got it. The automatic shade was way cool. Great Union Square location. My stay was absolutely outstanding!!!",2-Oct-18,5
Great room in a great hotel. Our room was quiet and was clean - overlooked Sutter St. Larger than some rooms in SF. Location is superb - in the middle of the Union Square area. Plenty of nearby restaurants and shopping -- close to cable and trolley lines. Doormen were a great help in entering the hotel. Would definitely stay here again.,2-Oct-18,4
"Excelent location near Union Square, restaurants, ideal for shopping. Walking distance to most locations. I would recommend to anyone visiting the San Francisco Bay Area. Great views from rooftop. Excelent choice!",2-Oct-18,5
"We stayed two nights at the hotel. The hotel is located in Union Sq. 5 min, very close to all department shops and 5 min from Powell Brat subway station. We were party of four. The room with two queen beds can accomodate two adults and one to two teens. Sturback cofee shop is infront of the hotel to take your morning breakfast. ",30-Sep-18,4
"The hotel is at a perfect location, everything within walking distance and when you walked too far, easy enough to get a cab. The hotel has a nice bar on the second floor if i recall well. We rented a car while we stayed there, which i regret, it mainly stood parked in the parking garage next door for the 3 days we were there. Make sure you take plenty money SF is expensive and don't trip over the homeless people, sadly there are many.",29-Sep-18,4
"We stayed here beginning of sep for a week , we were on the 17floor hotel in great location to everythingRoom big and adequate althoigh didnt like adjoining room nxt doorStaff pleasent &informativeI would say rooms need updated but didnt spoil our holiday, over all i would give it 3 stars",27-Sep-18,3
"We visit San Francisco quite often and the Hyatt Union Square is always our hotel of choice. The hotel staff is excellent--registration, luggage assistance, Club level service. Whenever we travel with grandchildren they request the Hyatt as a treat!",27-Sep-18,5
"The location is fantastic, the staff beyond exceptional ( Ira Trinchera, lounge staff and concierge). Hotel itself needs to be renovated, does not have the Grand Hyatt feel. The staff made the stay better than it would have been. Club lounge not too big but excellent staff, breakfast in the restaurant good. If the hotel matched the staff quality this would be an exceptional hotel.",27-Sep-18,3
"Hotel is at a great location, very walk-able from the BART station and close to other transit lines. I was at the airport at 4:30am that morning and arrived at the hotel at noon. I was allowed to immediately check into a room on the 6th floor. The room faced the back of a building and was beside the ice machine, but neither affected my one-night stay. At this point I valued the extra time to rest and freshen up more than a view!I returned early in the evening after checking out some of the city and ordered room service for dinner. The lady whose name I forgot but starts with ""M"" was delightful and we shared a laugh when she thought I ordered ""chicarron"" when I really just wanted ginger ale. Dinner was promptly delivered, I was advised I could not add a tip to my bill as it was hotel policy, which left me to tip in cash which I did not have enough of. Ended up tipping just under 10%, which considering the expedited delivery, warranted at least 15%. I hope they reconsider this policy, I hate short-changing good customer service.I needed a shower before heading out to an event later in the evening, however the shower head fell off the handle when I turned on the water. Called downstairs and the agent was very apologetic and less than 10 minutes later, maintenance came up and took just 2 minutes to fix the shower! Came back from my event and had a wonderful sleep, perhaps the best I've had in weeks. Check-out the next morning was quick and efficient. I had breakfast at One-up and had a side order of sausages, lovely scrambled eggs and a slightly overpriced, but otherwise tasty smoothie. Service was courteous and efficient.All in all, stay was great, I'd love to come again and stay longer.",25-Sep-18,4
Nice hotel and very friendly and helpful staff. I loved the location and we were able to walk everywhere we decided to go. The price was comparable to others that I felt werenâ€™t as nice or located right in the middle of everything to do. The city view at night was fantastic.,25-Sep-18,5
"The location of this property couldn't get much better if you want to stay close to EVERYTHING in San Francisco. The hotel staff is very friendly, helpful and curteous but it's crazy expensive to stay here. We were there for a conference and, for instance, they wanted over 1 100 USD for coffee for 14 people (we decided to go to Starbuck's across the street instead) and when we needed a HDMI cable for the conference room that we had rented, they charged us $335 for LENDING us one. They cost around $15 to buy ... Of course the $335 included a guy that brought the cable to the conference room and two pieces of duct tape used to tape the cable to the floor to prevent us from tripping on it. Still, the extra $ 320 felt a little like a scam.",25-Sep-18,4
"We were here for two nights and it was a good location for the Union square area. The rooms were a decent size but a little outdated but the staff was great. The front office manager, Polina, was nice enough to give us an upgraded room to celebrate our anniversary and a bottle of champagne. Great service!",24-Sep-18,4
"We just loved this hotel and its location to everything. We were greeted at check in by Neil and he gave us his business card in case we needed anything. That was a very nice touch. The room was nice with amazing views. The club room was very nice and the food and drinks were great, but the deserts could have been better. The only complaint we had was that the elevators were very noisy in our room. It didn't bother us during the day, but at about 6:30 in the morning it was tough to sleep because of the noise. We will be back, but hopefully in a different room next time.",23-Sep-18,5
